Wavelength,Flux,FluxErr
9.725965618003199779e+03,8.970434787048062504e-17,2.927222477188999070e-17
9.772383316600624312e+03,2.468089235933119679e-16,2.927602352336095144e-17
9.818801015198048844e+03,2.857666663084153136e-16,2.984356416139845087e-17
9.865218713795475196e+03,3.039812626511672269e-16,3.319139001411185177e-17
9.911636412392899729e+03,2.820258366151203057e-16,3.317976806932953973e-17
9.958054110990324261e+03,2.780419369701274785e-16,3.529185926232962287e-17
1.000447180958774879e+04,2.916599828096787310e-16,2.652345838257543357e-17
1.005088950818517333e+04,2.790466891882267015e-16,3.008310240434234080e-17
1.009730720678259786e+04,2.758261838427466568e-16,2.492822929493433795e-17
1.014372490538002239e+04,2.393380345353487180e-16,2.530365878777441661e-17
1.019014260397744692e+04,2.238705225127796765e-16,2.707379390023024200e-17
1.023656030257487146e+04,1.885000307646207141e-16,1.915147593878425615e-17
1.028297800117229781e+04,1.777339611390429987e-16,1.900307462836096392e-17
1.032939569976972052e+04,1.546486119217567097e-16,2.078584015023273972e-17
1.037581339836714687e+04,1.699566908357210022e-16,1.948804247642834763e-17
1.042223109696457141e+04,1.914334634741355427e-16,1.946462416910265288e-17
1.046864879556199594e+04,1.403131416887761280e-16,1.610824964408926695e-17
1.051506649415942047e+04,1.735555607880830782e-16,2.141452632965057478e-17
1.056148419275684500e+04,1.653004448479722426e-16,1.649724057261566456e-17
1.060790189135426954e+04,1.478574135615630677e-16,1.794956868093072400e-17
1.065431958995169407e+04,1.367465829418949091e-16,1.614827422342195844e-17
1.070073728854911860e+04,1.329772227599011711e-16,1.801365257400094379e-17
1.074715498714654314e+04,1.557356929149624844e-16,1.592325535235132488e-17
1.079357268574396949e+04,1.263933292830070456e-16,1.927541424981428131e-17
1.083999038434139402e+04,1.028486341732035593e-16,1.708503178835339021e-17
1.088640808293881855e+04,1.366575394167450008e-16,1.636361928273228717e-17
1.093282578153624308e+04,1.492256096086417540e-16,1.530501279965858999e-17
1.097924348013366762e+04,1.197163642591458065e-16,1.482387302883730904e-17
1.102566117873109215e+04,1.396916116289355370e-16,1.832876682886463829e-17
1.107207887732851668e+04,1.385357250549695875e-16,1.775235973249562680e-17
1.111849657592594122e+04,1.175241205668632017e-16,1.668899990916554289e-17
1.116491427452336575e+04,1.224998786743100443e-16,1.589256891207062935e-17
1.121133197312079210e+04,1.474551105764328679e-16,1.638741528218135434e-17
1.125774967171821481e+04,9.567199094306361017e-17,1.684140026899751999e-17
1.130416737031564116e+04,1.267286552720566405e-16,1.496726158007797153e-17
1.135058506891306570e+04,1.048742017445102518e-16,1.799016992483977119e-17
