Wavelength,Flux,FluxErr
7.399510502174628527e+03,2.219594552972022230e-16,7.554645979953179828e-19
7.423882016096221378e+03,2.447927497017420729e-16,7.215338861982939502e-19
7.448253530017814228e+03,2.738186207394883023e-16,6.744157417712135226e-19
7.472625043939406169e+03,3.186935898085779731e-16,6.684046902694509237e-19
7.496996557860999019e+03,3.727492839825619863e-16,6.526449454919523501e-19
7.521368071782590960e+03,4.252295902355089349e-16,6.729727625069385186e-19
7.545739585704182900e+03,4.953559898472367496e-16,6.292082192821816045e-19
7.570111099625775751e+03,5.958803239779714065e-16,8.288506027831917922e-19
7.594482613547368601e+03,7.879319235614088130e-16,8.699886194740283568e-19
7.618854127468960542e+03,1.137339565591403437e-15,1.355931077571880155e-18
7.643225641390553392e+03,1.568839528856707001e-15,1.588898102118198727e-18
7.667597155312146242e+03,2.041608569628212536e-15,1.773145769124778084e-18
7.691968669233738183e+03,2.703986052334865287e-15,2.841685623646521101e-18
7.716340183155331033e+03,3.873438348209068401e-15,4.548396827239295668e-18
7.740711697076922974e+03,5.469543731200653640e-15,4.983994468909601404e-18
7.765083210998514915e+03,6.588413624505785981e-15,4.054771014130246486e-18
7.789454724920107765e+03,7.402818225840738155e-15,4.244542755216233683e-18
7.813826238841700615e+03,8.563152102357339570e-15,6.201526970761880125e-18
7.838197752763292556e+03,1.057497306638184073e-14,8.868386141833071223e-18
7.862569266684885406e+03,1.337333236804061021e-14,1.099373311926107284e-17
7.886940780606477347e+03,1.624779418490053936e-14,9.539942621338405592e-18
7.911312294528070197e+03,1.829197497928908920e-14,8.142260225785868246e-18
7.935683808449662138e+03,1.992663592608112031e-14,7.949614667210694840e-18
7.960055322371254988e+03,2.141747838843376694e-14,7.704885548844470621e-18
7.984426836292846929e+03,2.353588406597666523e-14,1.043891217349276553e-17
8.008798350214438869e+03,2.562138681854761416e-14,7.182078130665950877e-18
8.033169864136031720e+03,2.700256945880552238e-14,6.948496890632627208e-18
8.057541378057624570e+03,2.832930927556149518e-14,5.569649798939602426e-18
8.081912891979216511e+03,2.896414388776335275e-14,5.654896121813621720e-18
8.106284405900809361e+03,2.952544466778855422e-14,5.764696244806299782e-18
8.130655919822402211e+03,3.037480423885197436e-14,6.408801485098104131e-18
8.155027433743994152e+03,3.152656808188686554e-14,6.915898579192614870e-18
8.179398947665587002e+03,3.295661598023869610e-14,6.381695764506976267e-18
8.203770461587178943e+03,3.347377188216469513e-14,4.068742989446943489e-18
8.228141975508771793e+03,3.429671346078030146e-14,7.541373292221980503e-18
8.252513489430364643e+03,3.674470732800691408e-14,8.834975514656228270e-18
8.276885003351957494e+03,3.904689820082360060e-14,9.347783356463171466e-18
8.301256517273548525e+03,4.051975814669637189e-14,9.235900880287237428e-18
8.325628031195139556e+03,4.180878624310453191e-14,7.000926632580131075e-18
8.349999545116734225e+03,4.232791368286020580e-14,5.114407932772877936e-18
8.374371059038325257e+03,4.348477341523056289e-14,7.488431254503992012e-18
8.398742572959918107e+03,4.456718022786508769e-14,7.269173181796439834e-18
8.423114086881510957e+03,4.614016769121752093e-14,7.815907837187419253e-18
8.447485600803103807e+03,4.730462557062129077e-14,7.480058729402996305e-18
8.471857114724694839e+03,4.860281097436196499e-14,7.109097423355720291e-18
8.496228628646289508e+03,4.962383088545831066e-14,6.535799660788109309e-18
8.520600142567880539e+03,4.952971595526840485e-14,4.948008432315147183e-18
8.544971656489471570e+03,4.961859491975967019e-14,6.212252259733756512e-18
8.569343170411066239e+03,4.848567823190942258e-14,6.095938002413690179e-18
8.593714684332657271e+03,5.054317219791626025e-14,1.110150680149269066e-17
8.618086198254250121e+03,5.303714729770908452e-14,6.384886474807531567e-18
8.642457712175841152e+03,5.269552892665466255e-14,6.071944916577609920e-18
8.666829226097435821e+03,5.236668697644266833e-14,6.428649367744723178e-18
8.691200740019026853e+03,5.152161822544627669e-14,7.786574015852813376e-18
8.715572253940619703e+03,5.557686580748563143e-14,1.318140100497195235e-17
8.739943767862212553e+03,5.901855547794246017e-14,1.133768418262693201e-17
8.764315281783805403e+03,6.081667490112570032e-14,8.293909393649332849e-18
