Wavelength,Flux,FluxErr
9.742025913524525095e+03,6.332685309263832259e-17,1.721068376120223495e-17
9.788256405872340110e+03,1.341251679175696950e-16,3.399396066883850550e-18
9.834486898220155126e+03,2.295691056429726814e-16,3.498143090220697167e-18
9.880717390567970142e+03,3.335020166913157374e-16,4.282795731822781408e-18
9.926947882915785158e+03,3.909732773846441030e-16,4.714659962681203385e-18
9.973178375263600174e+03,4.041539220644552547e-16,3.409156609350395669e-18
1.001940886761141701e+04,5.087327832172686002e-16,4.091223736602558580e-18
1.006563935995923202e+04,6.785653075123232466e-16,4.024364210463640412e-18
1.011186985230704704e+04,8.647708543978407697e-16,4.800306012535677658e-18
1.015810034465486206e+04,1.024988833932843294e-15,3.809877904275864505e-18
1.020433083700267707e+04,1.162961642760793440e-15,5.050483527909792301e-18
1.025056132935049209e+04,1.445338510271548609e-15,4.031803036325232455e-18
1.029679182169830710e+04,1.941047387098584118e-15,5.091247761132219154e-18
1.034302231404612394e+04,2.700441288452399187e-15,5.298077992737327715e-18
1.038925280639393895e+04,3.477374035773432368e-15,5.900124406856355911e-18
1.043548329874175397e+04,4.192240667286273064e-15,5.607316123490279919e-18
1.048171379108956899e+04,5.267668532643419380e-15,8.409841267298924637e-18
1.052794428343738582e+04,7.123885271539160655e-15,1.425658496012849974e-17
1.057417477578520084e+04,1.050299245669246898e-14,2.053070957152749013e-17
1.062040526813301585e+04,1.448811946008660523e-14,2.028812263065862008e-17
1.066663576048083269e+04,1.809090995064395067e-14,1.732717605640679405e-17
1.071286625282864770e+04,2.169049393396818930e-14,2.361032915487178096e-17
1.075909674517646272e+04,2.796341582418943386e-14,4.715487081504640740e-17
1.080532723752427773e+04,4.005286463854563606e-14,8.458204773647970495e-17
1.085155772987209275e+04,5.976925836895191304e-14,1.140068812598274045e-16
1.089778822221990777e+04,8.003436476353620850e-14,8.900140106096570331e-17
1.094401871456772278e+04,9.568052128660777338e-14,5.814643938226476143e-17
1.099024920691553962e+04,1.075841408430635697e-13,6.338054029634246000e-17
1.103647969926335463e+04,1.237177126392290214e-13,9.970155042209891309e-17
1.108271019161116965e+04,1.447977634061546716e-13,1.073166360036386290e-16
1.112894068395898466e+04,1.635631277185592980e-13,8.172178687725206072e-17
1.117517117630679968e+04,1.768665361944264707e-13,3.692716322451679608e-17
1.122140166865461651e+04,1.808831307161107764e-13,2.589771275639760960e-17
1.126763216100242971e+04,1.861916640268395124e-13,2.658979682382480952e-17
1.131386265335024655e+04,1.885683970156086950e-13,2.906950580103738613e-17
1.136009314569806156e+04,1.886100698470709363e-13,2.714183641293728279e-17
1.140632363804587840e+04,1.948445388114850161e-13,2.532556324298513771e-17
1.145255413039369341e+04,1.944739253725989199e-13,2.905027925459712536e-17
1.149878462274150843e+04,1.982943869382865458e-13,2.876730551612345933e-17
1.154501511508932526e+04,2.005912971143391596e-13,2.978762805181081762e-17
1.159124560743713846e+04,2.002012148335378381e-13,2.946422919355445300e-17
1.163747609978495530e+04,2.022809129083108897e-13,2.951246063200600166e-17
1.168370659213277031e+04,2.035422578029170943e-13,3.215149075168576628e-17
1.172993708448058533e+04,2.065817814376215746e-13,2.960134883324088648e-17
1.177616757682840034e+04,2.109162669192793051e-13,3.831666145749363062e-17
1.182239806917621536e+04,2.144490082785700217e-13,2.586532437813259057e-17
1.186862856152403219e+04,2.153512262326154467e-13,3.194997011867758376e-17
1.191485905387184539e+04,2.181151717471518484e-13,2.903915945723940563e-17
1.196108954621966222e+04,2.194002187618375626e-13,2.500315564328910671e-17
1.200732003856747724e+04,2.224210344603589825e-13,3.694610970998782284e-17
1.205355053091529226e+04,2.229552245593698252e-13,2.622605721170092852e-17
1.209978102326310727e+04,2.270181495779072306e-13,3.147431213355688691e-17
1.214601151561092229e+04,2.289925298240681683e-13,2.777580433738795226e-17
1.219224200795873912e+04,2.298188167395962870e-13,2.762083674274891110e-17
1.223847250030655232e+04,2.342208022248405850e-13,3.571583576326003513e-17
1.228470299265437097e+04,2.366041995263859593e-13,2.954743121537231056e-17
1.233093348500218599e+04,2.371050431342190679e-13,3.680963997570469642e-17
1.237716397735000101e+04,2.396372196293779980e-13,4.378719107854557426e-17
1.242339446969781602e+04,2.412780645441484805e-13,3.463394682545482617e-17
1.246962496204563104e+04,2.399412092591570780e-13,3.810765895551317477e-17
1.251585545439344787e+04,2.418210359066088792e-13,3.668009413407189598e-17
1.256208594674126107e+04,2.420208549866070265e-13,4.120147547018476126e-17
1.260831643908907790e+04,2.421551464353709988e-13,4.006556751651958563e-17
1.265454693143689292e+04,2.419872810338467679e-13,3.587484448446805312e-17
1.270077742378470793e+04,2.430290856176604510e-13,4.065074906472595529e-17
1.274700791613252295e+04,2.420860080852080276e-13,3.819849847553322993e-17
1.279323840848033797e+04,2.431163199388721749e-13,3.252959430381315579e-17
1.283946890082815480e+04,2.445132967476230916e-13,3.086656973650973207e-17
1.288569939317596800e+04,2.462285440344399370e-13,3.213965142912324803e-17
1.293192988552378483e+04,2.498178497922491873e-13,3.660411374618795123e-17
1.297816037787159985e+04,2.496568238177605947e-13,3.950672540757583775e-17
1.302439087021941486e+04,2.451963333439486587e-13,3.339189497403663664e-17
1.307062136256722988e+04,2.543442524008470311e-13,3.888764024273868349e-17
1.311685185491504672e+04,2.535398148840701750e-13,4.455457924620105225e-17
1.316308234726286355e+04,2.529046467988048914e-13,4.770628341234888338e-17
1.320931283961067675e+04,2.522180998159197732e-13,4.240186477484165587e-17
1.325554333195849358e+04,2.585986196813221560e-13,4.398947120148396096e-17
1.330177382430630860e+04,2.605056893713515431e-13,3.801451807350844220e-17
1.334800431665412361e+04,2.601929864050065203e-13,3.750926483047214109e-17
1.339423480900193863e+04,2.616944559488484153e-13,3.818573516462470294e-17
1.344046530134975364e+04,2.598909398580062727e-13,3.978511066078389611e-17
1.348669579369757048e+04,2.606784704357875559e-13,3.707731887146231759e-17
1.353292628604538368e+04,2.611579407562366598e-13,4.327221200448563904e-17
1.357915677839320051e+04,2.604230597450251047e-13,4.087195054388027358e-17
1.362538727074101553e+04,2.585913801711743252e-13,4.243415313441406060e-17
1.367161776308883054e+04,2.563602643484306309e-13,4.171505523522320995e-17
1.371784825543664556e+04,2.599234618788452148e-13,3.866062110626528582e-17
1.376407874778446057e+04,2.580977523925571608e-13,4.571157154205737375e-17
1.381030924013227741e+04,2.539680191029170270e-13,4.297051235315215461e-17
1.385653973248009061e+04,2.497756989798724552e-13,4.646957110867086357e-17
1.390277022482790744e+04,2.524638125418960581e-13,4.950346987270467204e-17
1.394900071717572246e+04,2.499790614750983058e-13,4.586612867365931164e-17
1.399523120952353929e+04,2.499332806251377509e-13,3.898854250484715300e-17
1.404146170187135431e+04,2.535922669018135350e-13,3.169273037121266616e-17
1.408769219421916932e+04,2.557661646076823388e-13,3.613814393540673213e-17
1.413392268656698616e+04,2.559149618735859814e-13,4.022771662370186957e-17
1.418015317891479935e+04,2.576866800815587033e-13,4.296753965413996995e-17
1.422638367126261619e+04,2.572660169931499633e-13,4.349121471006656391e-17
1.427261416361043121e+04,2.564750726220838074e-13,4.078610959681543187e-17
1.431884465595824622e+04,2.580332249691036185e-13,4.176870852271166131e-17
1.436507514830606124e+04,2.574600554330403264e-13,4.502877272303135336e-17
1.441130564065387625e+04,2.596738318281904973e-13,4.613421981253884321e-17
